LOCAL_DATE_CREATED,CAMPUS,LOCATION_LATITUDE,LOCATION_LONGITUDE,BUILDING_ID,BUILDING_NAME,LOCATION_NUMBER,LOCATION_DESCRIPTION,DEVICE_TYPE,BATTERY_VOLTAGE,TRANSITION_DATETIME,TPS_STATUS,LOCATION_DESCRIPTION_STATUS,NODE_STATUS,TERM_TYPE_SID,SUBTYPE_DESCRIPTION,TECH
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000043,G-MEB-102A-GWE-M1-SIO-37,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000044,G-MEB-102A-LAB-NDEB-INT,NDEB,Normal,2023-10-20 11:13:41,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,1422,G-MEB-103-LAB-MTMS15-INT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-02-22 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000037,G-MEB-104-Office-NDEB-INT,NDEB,Normal,2025-07-01 13:36:54,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,10977,G-MEB-105-LAB-MTMS15-INT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000008,G-MEB-108-BD-1-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000010,G-MEB-108-BD-2-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2019-10-09 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,106149,G-MEB-108-LAB-AD400-INT,AD400,Normal,2024-04-24 13:48:35,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000007,G-MEB-108A-BD-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000033,G-MEB-108D-GWE-M1-SIO-33,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000034,G-MEB-108D-Office-NDEB-INT,NDEB,Normal,2025-04-18 15:43:35,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-04-24 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,13782,G-MEB-108F-Office-NDEB-INT,NDEB,Normal,2024-04-24 09:36:49,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-04-24 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000045,G-MEB-108F-PIM-M1-SIO-38,PIM,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,PIM Module,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000031,G-MEB-108G-GWE-M1-SIO-32,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000032,G-MEB-108G-Lab Storage-NDEB-INT,NDEB,Normal,2025-03-16 22:24:25,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000035,G-MEB-108H-Entrance-NDEB-INT,NDEB,Normal,2025-07-29 23:20:10,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-11-01 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000041,G-MEB-113-GWE-M1-SIO-36,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000011,G-MEB-113-Instrument Lab Research-DPS-EXT,DPS,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-02-22 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000042,G-MEB-113-LAB-NDEB-INT,NDEB,Normal,2024-10-24 15:26:13,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-02-22 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000038,G-MEB-114-Office-NDEB-INT,NDEB,Normal,2025-07-29 17:33:58,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-02-22 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100000,G-MEB-115-Mechanical-NDEB-INT,NDEB,Normal,2024-02-22 14:01:02,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000065,G-MEB-124-GWE-M2-SIO-32,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000053,G-MEB-124-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101200000,G-MEB-124A-Mechanical Room-NDEB-INT,NDEB,Normal,2024-03-26 14:31:26,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000075,G-MEB-124B-Office-NDEB-INT,NDEB,Normal,2024-03-26 14:31:28,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000073,G-MEB-124C-GWE-M2-SIO-36,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000074,G-MEB-124C-Office-NDEB-INT,NDEB,Normal,2023-10-27 14:03:00,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000051,G-MEB-125-LH-Shop-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000050,G-MEB-125-RH-Shop-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000066,G-MEB-126-BD-LAB-NDEB-INT,NDEB,Normal,2023-10-27 14:03:00,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000054,G-MEB-126-BD-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,1454,G-MEB-126-FD-SHOP-NDEB-INT,NDEB,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000067,G-MEB-126-GWE-M2-SIO-33,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2024-04-23 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101275,G-MEB-126A-Office-AD400-INT,AD400,Normal,2025-06-13 13:52:11,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-04-23 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,10899,G-MEB-126B-Shop-AD400-INT,AD400,Normal,2024-04-23 11:29:29,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000069,G-MEB-126C-GWE-M2-SIO-34,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000070,G-MEB-126C-Shop-NDEB-INT,NDEB,Normal,2025-07-01 13:32:47,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100008,G-MEB-130-GWE-M11-33,GWE,Not reporting,,ACTIVE,ACTIVE,OFFLINE,2212,Engage RSI Gateway,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100010,G-MEB-130-LAB-NDEB-INT,NDEB,Normal,2024-03-26 14:34:35,ACTIVE,ACTIVE,OFFLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100005,G-MEB-131-Pump Room-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,OFFLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100009,G-MEB-131A-Central Storage-NDEB-INT,NDEB,Normal,2024-03-26 14:34:35,ACTIVE,ACTIVE,OFFLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100007,G-MEB-131A-GWE-M11-SIO-32,GWE,Not reporting,,ACTIVE,ACTIVE,OFFLINE,2212,Engage RSI Gateway,Mercury
2024-04-23 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,10900,G-MEB-134-LAB-AD400-INT,AD400,Normal,2024-04-23 11:29:29,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000056,G-MEB-134A-BD-Shop-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000057,G-MEB-134A-Shop-DPS-EXT,DPS,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000059,G-MEB-134AB-BD-Shop-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-04-23 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,10901,G-MEB-134AB-FD-Shop-AD400-INT,AD400,Normal,2025-07-25 07:43:19,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000077,G-MEB-134AC-BD-Shop-NDEB-INT,NDEB,Normal,2023-10-27 14:03:00,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-31 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000076,G-MEB-134AC-GWE-M2-SIO-37,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2024-04-23 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000078,G-MEB-139-PIM-M2-SIO-38,PIM,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,PIM Module,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000062,G-MEB-144-2-Shop-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000060,G-MEB-144-BD-Shop-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,1522,G-MEB-144-FD-Shop-MTMS15-INT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000048,G-MEB-144A-Connector-M2-CONN-1,Connector,Not reporting,,ACTIVE,ACTIVE,ONLINE,2211,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000064,G-MEB-144A-Connector-M2-CONN-2,Connector,Not reporting,,ACTIVE,ACTIVE,ONLINE,2211,,Mercury
2023-11-28 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000072,G-MEB-144A-Electrical Room-NDEB-INT,NDEB,Normal,2023-10-27 14:03:00,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-11-28 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000071,G-MEB-144A-GWE-M2-SIO-35,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-27 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,13794,G-MEB-144A-LP4502-M2-00:0F:E5:0F:1B:36,LP4502,Not reporting,,ACTIVE,ACTIVE,ONLINE,2210,LP4502 / EP4502,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000049,G-MEB-144A-MR52-M2-SIO-1,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000052,G-MEB-144A-MR52-M2-SIO-2,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000055,G-MEB-144A-MR52-M2-SIO-3,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000058,G-MEB-144A-MR52-M2-SIO-4,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000061,G-MEB-144A-MR52-M2-SIO-5,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000099,G-MEB-146-LAB-NDEB-INT,NDEB,Normal,2025-06-30 10:25:08,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000101,G-MEB-147-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000116,G-MEB-147A-GWE-M3-SIO-38,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000117,G-MEB-147A-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000118,G-MEB-147AA-GWE-M3-SIO-39,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000119,G-MEB-147AA-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000087,G-MEB-148-Connector-M3-CONN-1,Connector,Not reporting,,ACTIVE,ACTIVE,ONLINE,2211,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000097,G-MEB-148-Connector-M3-CONN-2,Connector,Not reporting,,ACTIVE,ACTIVE,ONLINE,2211,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000084,G-MEB-148-Connector-M3-CONN-3,Connector,Not reporting,,ACTIVE,ACTIVE,ONLINE,2211,,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100112,G-MEB-148-Electrical Room-NDEB-INT,NDEB,Normal,2024-03-26 14:31:29,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-13 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,13795,G-MEB-148-LP4502-M3-00:0F:E5:0F:1B:8E,LP4502,Not reporting,,ACTIVE,ACTIVE,ONLINE,2210,LP4502 / EP4502,Mercury
2023-10-13 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000085,G-MEB-148-LP4502-M3-SIO-0,LP4502,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,EP4502 / LP4502 (Internal 2 reader SIO),Mercury
2023-10-13 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000088,G-MEB-148-MR52-M3-SIO-1,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2023-10-13 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000091,G-MEB-148-MR52-M3-SIO-2,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2023-10-13 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000094,G-MEB-148-MR52-M3-SIO-3,MR52,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,MR52,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000089,G-MEB-149-BD-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000100,G-MEB-149-FD-LAB-NDEB-INT,NDEB,Normal,2025-05-09 15:18:26,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000098,G-MEB-149-GWE-M3-SIO-32,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000103,G-MEB-149A-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000105,G-MEB-149B-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000106,G-MEB-149C-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000102,G-MEB-150-GWE-M3-SIO-33,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000104,G-MEB-151-GWE-M3-SIO-34,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000095,G-MEB-155-BD-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,116652,G-MEB-155-FD-LAB-MTMS15-INT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101001000,G-MEB-155A-GWE-M4-SIO-44,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000090,G-MEB-155A-LAB-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101001001,G-MEB-155A-LAB-NDEB-INT,NDEB,Normal,2024-12-16 11:09:00,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000112,G-MEB-159-LAB-NDEB-INT,NDEB,Normal,2025-06-30 10:26:57,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-03-26 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101100001,G-MEB-160-Mechanical Room-NDEB-INT,NDEB,Normal,2024-03-26 14:31:30,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000107,G-MEB-161-GWE-M3-SIO-35,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000108,G-MEB-161-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000114,G-MEB-162-1-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000115,G-MEB-162-2-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000111,G-MEB-162-FD-LAB-NDEB-INT,NDEB,Normal,2023-10-13 11:06:53,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000113,G-MEB-162-GWE-M3-SIO-37,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000109,G-MEB-163A-GWE-M3-SIO-36,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-14 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000110,G-MEB-163A-LAB-NDEB-INT,NDEB,Normal,2025-07-14 19:42:18,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2024-04-30 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101276,G-MEB-163B-LAB-AD400-EXT,AD400,Normal,2025-03-15 20:07:58,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-20 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000122,G-MEB-164-GWE-M4-SIO-32,GWE,Not reporting,,ACTIVE,ACTIVE,ONLINE,2212,Engage RSI Gateway,Mercury
2023-10-20 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000123,G-MEB-164-Office-NDEB-INT,NDEB,Normal,2023-09-30 05:40:40,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-20 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000125,G-MEB-166-LH-LAB-NDEB-EXT,NDEB,Normal,2023-09-30 05:40:40,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-10-20 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000124,G-MEB-166-RH-LAB-NDEB-INT,NDEB,Normal,2023-09-30 05:40:40,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,101000014,G-MEB-195E-Entrance-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
2023-09-08 00:00:00,CG,25.722571,-80.278965,0101,McArthur Engineering Building,1448,G-MEB-199A-Entrance-DPEPF-MTMS15-EXT,MTMS15,Not reporting,,ACTIVE,ACTIVE,ONLINE,2213,,Mercury
